,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
0,Beasts of No Nation,Cary Joji Fukunaga,Amy Kaufman Cary Joji Fukunaga Daniela Taplin Lundberg Riva Marker Jeffrey Skoll Daniel Crown Idris Elba Uzodinma Iweala,Cary Joji Fukunaga,"['Beasts of No Nation', 'by Uzodinma Iweala']","Idris Elba Abraham Attah Kurt Egyiawan Jude Akuwudike Emmanuel ""King King"" Nii Adom Quaye",Dan Romer,Cary Joji Fukunaga,Mikkel E. G. Nielsen Pete Beaudreau,Red Crown Productions Primary Productions Participant Media Parliament of Owls,Bleecker Street Netflix,137 minutes,United States,Twi,137,6000000,2015,,,
1,The Ridiculous 6,Frank Coraci,Allen Covert Adam Sandler Ted Sarandos,,,Adam Sandler Terry Crews Jorge Garcia Taylor Lautner Rob Schneider Luke Wilson,Rupert Gregson-Williams Elmo Weber,Dean Semler,Tom Costain,,Netflix,120 minutes,United States,English,120,60000000,2015,Tim Herlihy Adam Sandler,Happy Madison Productions,
2,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Yuen Woo-ping,Charlie Nguyen Harvey Weinstein,John Fusco,"['Iron Knight, Silver Vase', 'by', 'Wang Dulu']",Donnie Yen Michelle Yeoh,Shigeru Umebayashi,Newton Thomas Sigel,Jeff Betancourt,,Netflix The Weinstein Company,105 minutes,China,English,105,,2016,,"['China Film Group', 'Pegasus Taihe Entertainment', 'The Weinstein Company', 'Yucaipa Films']",
3,Pee-wee's Big Holiday,John Lee,"['Judd Apatow', 'Paul Reubens']",,,"['Paul Reubens', 'Joe Manganiello']",Mark Mothersbaugh,Tim Orr,Jeff Buchanan,,Netflix,89 minutes,United States,English,89,,2016,"['Paul Reubens', 'Paul Rust']","['Pee-wee Pictures', 'Apatow Productions']",
4,Special Correspondents,Ricky Gervais,Chris Coen Aaron L. Gilbert Ricky Gervais Ted Sarandos Manuel Munz Larry Sanitsky,,"['Envoyés très spéciaux', 'by Simon Michaël & Jacques Labib']",Ricky Gervais Eric Bana Vera Farmiga Kevin Pollak Kelly Macdonald Benjamin Bratt America Ferrera Raúl Castillo,Dickon Hinchliffe,Terry Stacey,Nicolas Chaudeurge,Bron Studios Unanimous Entertainment,Netflix,100 minutes,Canada,English,100,,2016,Ricky Gervais,,
5,The Do-Over,Steven Brill,Adam Sandler Allen Covert Kevin Grady Ted Sarandos,,,Adam Sandler David Spade Paula Patton Kathryn Hahn Luis Guzmán,Rupert Gregson-Williams,Dean Semler,Tom Costain,,Netflix,108 minutes,United States,English,108,40000000,2016,Kevin Barnett Chris Pappas,Happy Madison Productions,
6,The Fundamentals of Caring,Rob Burnett,Rob Burnett Donna Gigliotti James Spies,,"['The Revised Fundamentals of Caregiving', 'by', 'Jonathan Evison']",Paul Rudd Craig Roberts Selena Gomez,Ryan Miller,Giles Nuttgens,Christopher Passig,,Netflix,93 minutes,United States,English,93,,2016,Rob Burnett,Worldwide Pants Levantine Films,
7,"
Brahman Naman",Qaushiq Mukherjee,Steve Barron,,,Shashank Arora,,,Manas Mittal,,Netflix,95 minutes,India,English,95,,2016,Naman Ramachandran,,
8,Rebirth,Karl Mueller,Ross M. Dinerstein,,,"['Fran Kranz', 'Adam Goldberg', 'Nicky Whelan', 'Kat Foster', 'Andrew J. West', 'Eric Ladin']",Jonathan Snipes,Benji Bakshi,Saul Herckis,,Netflix,101 minutes,United States,English,101,,2016,Karl Mueller,Campfire,
9,Tallulah,Sian Heder,Heather Rae Russell Levine Chris Columbus Eleanor Columbus Todd Traina David Newsom,,,Ellen Page Allison Janney Tammy Blanchard,Michael Brook,Paula Huidobro,Darrin Navarro,,Netflix,111 minutes,United States,English,111,6000000,2016,Sian Heder,Route One Entertainment Ocean Blue Entertainment,
10,XOXO,Christopher Louie,Christopher Louie Max Leitman Joe Russell Daniel Shafer Pete Tong,Dylan Meyer,,Sarah Hyland Graham Phillips Brett DeBuono Hayley Kiyoko Colin Woodell Ryan Hansen Ione Skye Chris D'Elia,Aaron Drake,Damián Acevedo,Sam Bauer Debby Germinio,,Netflix,92 minutes,United States,English,92,,2016,,Netflix PrettyBird,Christopher Louie
11,ARQ,Tony Elliott,John Finemorea Kyle Franke Mason Novick Nick Spicer,,,Robbie Amell Rachael Taylor Shaun Benson Gray Powell Jacob Neayem Adam Butcher,Keegan Jessamy Bryce Mitchell,Daniel Grant,Kye Meechan,,Netflix,88 minutes,Canada,English,88,,2016,Tony Elliott,Lost City XYZ Films MXN Entertainment,
